id,hierarchy,galil,kahal,name,settlement_type,pop,year,region,modern_name,viv,pow,geocode,olat,olon,kahal_id,subunit,lat,lon,display_name,osm_id,wikidata_id,name_he,name_sim,match_status,confidence
1.0,1.0,Rus,Winnica,Winnica,city,348.0,1765.0,BRT,Vinnytsya,Bracław,Bracław,BRC_WINNICA,49.21939111,28.48875046,284.0,,49.2320162,28.467975,"Вінниця, Вінницька міська громада, Вінницький район, Вінницька область, Україна",361818.0,Q157144,ויניצה,1.0,matched_nominatim,high
2.0,,Rus,Winnica,Nowe Miasto Winnica,city,51.0,1765.0,BRT,Vinnytsya,Bracław,Bracław,BRC_WINNICA,49.23205939,28.46729279,284.0,,49.2320162,28.467975,"Вінниця, Вінницька область, Україна",249748477.0,Q157144,ויניצה,0.889,matched_db_api_modern,medium
3.0,,Rus,Winnica,Wisznia,village,3.0,1765.0,BRT,Lifshyts synagogue,Bracław,Bracław,BRC_WINNICA,49.23284405,28.46557617,284.0,,49.2320162,28.467975,"Вінниця, Вінницька область, Україна",249748477.0,Q157144,ויניצה,0.714,matched_db_api,medium
4.0,,Rus,Winnica,Ludwikowka,village,2.0,1765.0,BRT,Sloboda-Dashkovetska,Bracław,Bracław,BRC_WINNICA,49.24949,28.28078,284.0,,49.253078,28.279499,"Слобода-Дашковецька, Якушинецька сільська громада, Вінницький район, Вінницька область, Україна",5985671.0,Q4423491,,1.0,matched_nominatim_modern,high
5.0,,Rus,Winnica,Szeremetka,village,4.0,1765.0,BRT,Pyrohove,Bracław,Bracław,BRC_WINNICA,49.21588,28.39345,284.0,,49.2130866,28.3738762,"Агрономічна сільська громада, Вінницька область, Україна",1462582959.0,,,0.6,matched_db_api,medium
6.0,,Rus,Winnica,Maydan Juzwiński,village,2.0,1765.0,BRT,Maidan,Bracław,Bracław,BRC_WINNICA,49.23656,28.26179,284.0,,49.2378585,28.2658208,"Майдан, Якушинецька сільська громада, Вінницький район, Вінницька область, Україна",5985670.0,Q4274733,,1.0,matched_nominatim_modern,high
7.0,,Rus,Winnica,Juzwin,city,38.0,1765.0,BRT,Nekrasove,Bracław,Bracław,BRC_WINNICA,49.20318,28.22103,284.0,,,,,,,,,not_found,medium
8.0,,Rus,Winnica,Miedzwiedze Ucho,village,4.0,1765.0,BRT,Medvezhe Vushko,Bracław,Bracław,BRC_WINNICA,49.17934695,28.31176758,284.0,,49.182774,28.311285,"Медвеже Вушко, Вінницька область, Україна",597865764.0,Q4287554,,0.6,matched_db_api,medium
9.0,,Rus,Winnica,Jurkowce,village,3.0,1765.0,BRT,Yurkivtsy,Bracław,Bracław,BRC_WINNICA,49.15,28.4,284.0,,,,,,,,,not_found,medium
10.0,,Rus,Winnica,Skurzynce,village,3.0,1765.0,BRT,Shkurintsy,Bracław,Bracław,BRC_WINNICA,49.16667,28.41667,284.0,,49.173683,28.427494,"Прибузьке, Вінницька область, Україна",337568749.0,Q4377719,,0.9,matched_db_api_modern,high
11.0,,Rus,Winnica,Tiulki,village,4.0,1765.0,BRT,Tiutky,Bracław,Bracław,BRC_WINNICA,49.17609264,28.44394684,284.0,,49.175762,28.450666,"Тютьки, Вінницька область, Україна",337569137.0,Q4467756,,0.833,matched_db_api,medium
12.0,,Rus,Winnica,Łuka,village,4.0,1765.0,BRT,Luka-Meleshkivska,Bracław,Bracław,BRC_WINNICA,49.17564,28.49109,284.0,,49.173946,28.495565,Лука-Мелешківська,571878898.0,Q281189,,1.0,matched_cluster_fix,high
13.0,,Rus,Winnica,Parpurowce,village,3.0,1765.0,BRT,Parpurovtsy,Bracław,Bracław,BRC_WINNICA,49.16827,28.53179,284.0,,49.171795,28.53297,"Парпурівці, Вінницька область, Україна",337568866.0,Q3575411,,0.7,matched_db_api,medium
14.0,,Rus,Winnica,Sołowiuwka,village,5.0,1765.0,BRT,Soloviyevka,Bracław,Bracław,BRC_WINNICA,49.16667,28.56667,284.0,,,,,,,,,not_found,medium
15.0,,Rus,Winnica,Cwiżyn,village,5.0,1765.0,BRT,Tsvizhyn,Bracław,Bracław,BRC_WINNICA,49.12197242,28.54093552,284.0,,49.11977,28.548679,"Цвіжин, Лука-Мелешківська сільська громада, Вінницький район, Вінницька область, Україна",12328975.0,Q4503582,,1.0,matched_nominatim_modern,high
16.0,,Rus,Winnica,Chyżynce,village,3.0,1765.0,BRT,Khyzhyntsi,Bracław,Bracław,BRC_WINNICA,49.17554338,28.56097376,284.0,,49.173458,28.570663,"Хижинці, Лука-Мелешківська сільська громада, Вінницький район, Вінницька область, Україна",6020043.0,Q4497492,,1.0,matched_nominatim_modern,high
17.0,,Rus,Winnica,Siekierzynce,village,2.0,1765.0,BRT,Sokyryntsi,Bracław,Bracław,BRC_WINNICA,49.17101353,28.6022577,284.0,,49.170341,28.610121,"Сокиринці, Лука-Мелешківська сільська громада, Вінницький район, Вінницька область, 23207, Україна",6941103.0,Q4426912,,1.0,matched_nominatim_modern,high
18.0,,Rus,Winnica,Humieńska Karczma,village,4.0,1765.0,BRT,Mykhailivka,Bracław,Bracław,BRC_WINNICA,49.19007385,28.69435264,284.0,,49.19007385,28.69435264,,,,,,reverted_to_original,medium
19.0,,Rus,Winnica,Humienna,village,2.0,1765.0,BRT,Mykhailivka,Bracław,Bracław,BRC_WINNICA,49.19063988,28.69262045,284.0,,,,,,,,,not_found,medium
20.0,,Rus,Winnica,Telepenki,village,5.0,1765.0,BRT,Telepen’ki,Bracław,Bracław,BRC_WINNICA,49.23333,28.65,284.0,,,,,,,,,not_found,medium
21.0,,Rus,Winnica,Hawryszuwka,village,6.0,1765.0,BRT,Havryshivka,Bracław,Bracław,BRC_WINNICA,49.24327,28.63346,284.0,,49.243023,28.639126,"Гавришівка, Вінницька область, Україна",337566713.0,Q4131320,,0.667,matched_db_api,medium
22.0,,Rus,Winnica,Pisarzowka,village,4.0,1765.0,BRT,Pysarivka,Bracław,Bracław,BRC_WINNICA,49.1887,28.60449,284.0,,49.190338,28.606501,"Писарівка, Вінницька область, Україна",337567539.0,Q4363545,,0.737,matched_db_api,medium
23.0,,Rus,Winnica,Tenenki,village,2.0,1765.0,BRT,Tenenki,Bracław,Bracław,BRC_WINNICA,,,284.0,,,,,,,,,no_coords,none
24.0,,Rus,Winnica,Futory Winnickie,village,5.0,1765.0,BRT,Vinnytski Khutory,Bracław,Bracław,BRC_WINNICA,49.21395013,28.54448112,284.0,,49.20467,28.55072,"Вінницькі Хутори, Вінницька міська громада, Вінницький район, Вінницька область, 23201, Україна",6774569.0,Q4111606,,1.0,matched_nominatim_modern,high
