uid,index,district,district_id,court,court_id,type,entry_nr,level,name,area_ha,ref_parent,male,female,total,rom_cat,grk_cat,jews,othr,get,pol,rut,oth_lng,houses,lat,lon,modern_name,osm_id,wikidata_id,modern_type,nom_status
010101,1.0,Biala,1.0,Auschwitz,0101,mun,1.0,parent,"Auschwitz, Oświęcim",444.0,,3247.0,3594.0,6841.0,3029.0,19.0,3779.0,14.0,10.0,6574.0,,1.0,414.0,50.0382443,19.2214053,"Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777546.0,Q7342,town,located
010102,2.0,Biala,1.0,Auschwitz,0101,mun,2.0,parent,Babice,618.0,,692.0,717.0,1409.0,1343.0,7.0,59.0,,26.0,1372.0,,5.0,205.0,50.0525108,19.209075,"Babice, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777415.0,Q4837852,village,located
010103,3.0,Biala,1.0,Auschwitz,0101,mun,3.0,parent,Broszkowice,108.0,,156.0,173.0,329.0,329.0,,,,,328.0,,,56.0,50.0577929,19.233114,"Broszkowice, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777416.0,Q2750306,village,located
010104,4.0,Biala,1.0,Auschwitz,0101,mun,4.0,parent,Brzeszcze,1766.0,,672.0,730.0,1402.0,1391.0,1.0,4.0,6.0,8.0,1386.0,,,224.0,49.9815881,19.1478238,"Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, Polska",2762332.0,Q916514,town,located
010105,5.0,Biala,1.0,Auschwitz,0101,mun,5.0,parent,Brzezinka,691.0,,988.0,1005.0,1993.0,1835.0,15.0,86.0,57.0,166.0,1630.0,,45.0,231.0,50.0426055,19.1879702,"Brzezinka, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777331.0,Q995437,village,located
010106,6.0,Biala,1.0,Auschwitz,0101,mun,6.0,parent,Dwory,667.0,,797.0,905.0,1702.0,1698.0,,4.0,,,1701.0,,,297.0,50.0433333,19.2633333,"Dwory, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",3009698649.0,,neighbourhood,located
010106_1,7.0,Biala,1.0,Auschwitz,0101,mun,6.0,ort,Dwory,,,681.0,763.0,1444.0,1440.0,,4.0,,,1443.0,,,249.0,50.0433333,19.2633333,"Dwory, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",3009698649.0,,neighbourhood,located
010106_2,8.0,Biala,1.0,Auschwitz,0101,mun,6.0,ort,Mochnate,,,116.0,142.0,258.0,258.0,,,,,258.0,,,48.0,50.0433333,19.2633333,"Dwory, Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",3009698649.0,,neighbourhood,from_parent
010107,9.0,Biala,1.0,Auschwitz,0101,mun,7.0,parent,Grojec,687.0,,474.0,503.0,977.0,977.0,,,,,972.0,,,187.0,49.9799303,19.235038,"Grojec, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777281.0,Q5610133,village,located
010108,10.0,Biala,1.0,Auschwitz,0101,mun,8.0,parent,Harmęże,206.0,,132.0,145.0,277.0,277.0,,,,,276.0,,,55.0,50.0182424,19.1535244,"Harmęże, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, Polska",1777306.0,Q2495583,village,located
010109,11.0,Biala,1.0,Auschwitz,0101,mun,9.0,parent,Jawiszowice,1645.0,,635.0,733.0,1368.0,1343.0,1.0,18.0,6.0,7.0,1336.0,1.0,6.0,213.0,49.96214,19.1394723,"Jawiszowice, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, Polska",3341027.0,Q2152229,village,located
