line_id,code,jg_id,name,enc_name,presence_type,year_code,upper_bound,lower_bound,mid_range,prov,dist,area,note,entry_source,ziv_yearcode,enc_page,lat,lon,display_name,osm_id,wikidata_id,name_he,name_sim,match_status
1,PSK_OST_PYTL,-2990437.0,Pytalovo,ABRENE,,,,,,Pskov,Ostrov,Mainland Russia,,Ziv,18LX,19.0,57.062908,27.921061,"Пыталово, Пыталовский муниципальный округ, Псковская область, Северо-Западный федеральный округ, 181410, Россия",769891862.0,Q184361,,1.0,matched_nominatim
2,SDL_LKV_ADMW,-492116.0,Adamów,ADAMOW,jews_arrived,18XX,1900.0,1800.0,1850.0,Siedlce,Lukow,Congress Poland,,Shn,,39.0,51.7436921,22.2623567,"Adamów, gmina Adamów, powiat łukowski, województwo lubelskie, 21-412, Polska",362658040.0,Q2035593,,1.0,matched_nominatim
3,CRL_GZN_GZNP,-3206643.0,Gazenpot,AIZPUTE,jews_arrived,15XX,1600.0,1500.0,1550.0,Courland,Gazenpot,Mainland Russia,,Ziv,15EX,24.0,56.7226275,21.6067429,"Aizpute, Latvija",29488931.0,Q411723,אייזפוטה,0.875,matched_db_api
4,KZN_AKH_AKHT,-1034035.0,Akhtyrka,AKHTYRKA,POP,1897,1897.0,1897.0,1897.0,Kharkov,Akhtyrka,Mainland Russia,,Ziv,18LX,25.0,50.3115386,34.8868923,"Охтирка, Охтирська міська громада, Охтирський район, Сумська область, 42700, Україна",337524775.0,Q1013471,אוחטירקה,1.0,matched_nominatim
5,KVN_NVL_OKNS,-3206682.0,Oknista,AKNISTE,community_founded,18MX,1875.0,1850.0,1850.0,Kovno,Novoaleksandrovsk,Pale,,Ziv,18MX,25.0,56.1614742,25.7483539,"Aknīste, Latvija",360624803.0,Q420333,,1.0,matched_db_api
6,VLH_RVN_ALKS,-1034078.0,Aleksandriia,ALEKSANDRIA,first_mention,1648,1648.0,1648.0,1648.0,Volhynia,Rovno,Pale,נחרבה עי חמילנצקי ושוקמה מאוחר יותר,Ziv,16EX,27.0,50.731873,26.3455835,"Олександрія, Олександрійська сільська громада, Рівненський район, Рівненська область, 35320, Україна",337517126.0,Q4061016,,1.0,matched_nominatim
7,PTR_LDZ_ALSK,-492230.0,Aleskandrów,ALEKSANDROW,jews_arrived,1818,1818.0,1818.0,1818.0,Piotrkow,Lodz,Congress Poland,,Shn,,27.0,51.8196533,19.3035375,"Aleksandrów Łódzki, powiat zgierski, województwo łódzkie, Polska",31881622.0,Q664371,,1.0,matched_refined
8,WRS_NSH_ALKS,-492229.0,Aleksandrów,ALEKSANDROW-KUJAWSKI,jews_arrived,18LX,1900.0,1875.0,1875.0,Warszawa,Nieszawa,Congress Poland,,Shn,,28.0,52.8672734,18.6987741,"Aleksandrów Kujawski, powiat aleksandrowski, województwo kujawsko-pomorskie, Polska",3009676685.0,Q118596535,,0.917,matched_db_api
9,BSS_BLT_ALKS,-2275979.0,Aleksandreny,ALEXANDRENI,jews_arrived,18MX,1875.0,1850.0,1850.0,Bessarabia,Bieltsy,Pale,מושבה חקלאית יהודית,Ziv,18MX,28.0,47.8103129,28.0837775,"Alexăndreni, Moldova",281161097.0,Q2448236,,1.0,matched_db_api
10,KHR_ALK_ALKS,-1049208.0,Aleksandriia,ALEXANDRIA,jews_arrived,17LX,1800.0,1775.0,1775.0,Kherson,Aleksandriia,Pale,"נהרסה עי חמילנצקי, נבנתה מחדש במאה ה 19",Ziv,1648,27.0,48.670609,33.1169742,"Олександрія, Олександрійська міська громада, Олександрійський район, Кіровоградська область, Україна",337589760.0,Q156734,אולקסנדריה,1.0,matched_nominatim
