line_id,name,enc_name,modern_name,dist,olat,olon,lat,lon,display_name,osm_id,wikidata_id,name_he,name_sim,match_status
1,Pytalovo,ABRENE,Pytalovo,Ostrov,57.06666667,27.9,57.062908,27.921061,"Пыталово, Пыталовский муниципальный округ, Псковская область, Северо-Западный федеральный округ, 181410, Россия",769891862.0,Q184361,,1.0,matched_nominatim
2,Adamów,ADAMOW,Adamów,Lukow,51.73333333,22.26666667,51.7436921,22.2623567,"Adamów, gmina Adamów, powiat łukowski, województwo lubelskie, 21-412, Polska",362658040.0,Q2035593,,1.0,matched_nominatim
3,Gazenpot,AIZPUTE,Aizpute,Gazenpot,56.71666667,21.6,56.7226275,21.6067429,"Aizpute, Latvija",29488931.0,Q411723,אייזפוטה,0.875,matched_db_api
4,Akhtyrka,AKHTYRKA,Okhtyrka,Akhtyrka,50.31666667,34.9,50.3115386,34.8868923,"Охтирка, Охтирська міська громада, Охтирський район, Сумська область, 42700, Україна",337524775.0,Q1013471,אוחטירקה,1.0,matched_nominatim
5,Oknista,AKNISTE,Jēkabpils novads,Novoaleksandrovsk,56.16666667,25.75,56.1614742,25.7483539,"Aknīste, Latvija",360624803.0,Q420333,,1.0,matched_db_api
6,Aleksandriia,ALEKSANDRIA,Oleksandriia,Rovno,50.73333333,26.35,50.731873,26.3455835,"Олександрія, Олександрійська сільська громада, Рівненський район, Рівненська область, 35320, Україна",337517126.0,Q4061016,,1.0,matched_nominatim
7,Aleskandrów,ALEKSANDROW,Aleksandrów Łódzki,Lodz,51.81666667,19.3,51.8196533,19.3035375,"Aleksandrów Łódzki, powiat zgierski, województwo łódzkie, Polska",31881622.0,Q664371,,1.0,matched_refined
8,Aleksandrów,ALEKSANDROW-KUJAWSKI,Aleksandrów Kujawski,Nieszawa,52.86666667,18.7,52.8672734,18.6987741,"Aleksandrów Kujawski, powiat aleksandrowski, województwo kujawsko-pomorskie, Polska",3009676685.0,Q118596535,,0.917,matched_db_api
9,Aleksandreny,ALEXANDRENI,Alexăndreni,Bieltsy,47.8,28.06666667,47.8103129,28.0837775,"Alexăndreni, Moldova",281161097.0,Q2448236,,1.0,matched_db_api
10,Aleksandriia,ALEXANDRIA,Oleksandriia,Aleksandriia,48.66666667,33.11666667,48.670609,33.1169742,"Олександрія, Олександрійська міська громада, Олександрійський район, Кіровоградська область, Україна",337589760.0,Q156734,אולקסנדריה,1.0,matched_nominatim
11,Aleksandrovka,ALEXANDROVKA,Oleksandrivka,Chigirin,48.96666667,32.23333333,48.9658966,32.2336364,"Олександрівка, Олександрівська селищна громада, Кропивницький район, Кіровоградська область, 27314, Україна",337578545.0,Q1999866,,1.0,matched_nominatim
12,Allenstein,ALLENSTEIN,Olsztyn,Olsztyn,53.78333333,20.48333333,53.7766839,20.476507,"Olsztyn, województwo warmińsko-mazurskie, Polska",32566103.0,Q82765,אולשטין,1.0,matched_db_api
13,Olava,ALOVE,Slabadėlė,Troki,54.35,24.2,54.3501313,24.1734127,"Alovė, Alovės seniūnija, Alytaus apskritis, Lietuva",944007716.0,Q7297277,,0.8,matched_db_api
14,Olsiady,ALSEDZIAI,Alsėdžiai,Telshi,56.03333333,22.05,56.0288687,22.048205,"Alsėdžiai, Alsėdžių seniūnija, Telšių apskritis, Lietuva",1550846401.0,Q4735905,אלסיאד,1.0,matched_db_api
15,Altdamm,ALTDAMM,Szczecin,Pommern,53.4,14.66666667,53.4005206,14.6718496,"Szczecin, województwo zachodniopomorskie, Polska",252419296.0,Q878458,,1.0,matched_db_api
16,Altynovka,ALTINOVKA,Altynivka,Krolevets,51.45,33.18333333,51.4534194,33.1894527,"Алтинівка, Кролевецька міська громада, Конотопський район, Сумська область, 41346, Україна",209397250.0,Q4063057,,1.0,matched_nominatim
17,Aluksna,ALUKSNE,Alūksne,Valk,57.41666667,27.05,57.4204759,27.0505075,"Alūksne, Alūksnes novads, LV-4301, Latvija",180310845.0,Q291333,אלוקסנה,0.857,matched_nominatim
18,Ovanta,ALUNTA,Duobytė,Vilkomir,55.35,25.3,55.3512359,25.293029,"Duobytė, Alantos seniūnija, Utenos apskritis, Lietuva",436965091.0,Q4708295,,0.833,matched_db_api
19,Ananev,ANANEV,Ananiv,Ananev,47.71666667,29.96666667,47.7161562,29.9634987,"Ананьїв, Ананьївська міська громада, Подільський район, Одеська область, 66422, Україна",337671196.0,Q485891,אננייב,1.0,matched_nominatim
20,Andrushovka,ANDRUSHEVKA,Andrushivka,Zhitomir,50.01666667,29.01666667,50.0301392,29.0222111,"Андрушівка, Андрушівська міська громада, Бердичівський район, Житомирська область, 13400-13405, Україна",337536703.0,Q148909,,0.957,matched_nominatim
21,Andrychów,ANDRYCHOW,Andrychów,Wadowice,49.85,19.35,49.8555791,19.3436756,"Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, Polska",2691012.0,Q984857,,1.0,matched_refined
22,Andruseevo,ANDRZEJEWO,Ruskołęka-Parcele,Ostrov,52.85,22.16666667,52.8305612,22.2006931,"Andrzejewo, gmina Andrzejewo, powiat ostrowski, województwo mazowieckie, 07-305, Polska",692602144.0,Q2265672,,1.0,matched_refined
23,Andrzejów,ANDRZEJOW,Janówka,Brzeziny,51.73333333,19.68333333,51.7435866,19.6194327,"Andrzejów, Łódź-Widzew, Łódź, województwo łódzkie, Polska",17607431.0,,,1.0,matched_refined
24,Angerburg,ANGERBURG,Węgorzewo,Wegorzewo,54.21666667,21.73333333,54.2138162,21.7416569,"Węgorzewo, powiat węgorzewski, województwo warmińsko-mazurskie, Polska",31518767.0,Q751153,,1.0,matched_db_api
25,Anklam,ANKLAM,Anklam,Pommern,53.86666667,13.7,53.8560526,13.688091,"Anklam, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland",89777851.0,Q488513,,1.0,matched_db_api
26,Annopol,ANNOPOL,Hannopil,Ostrog,50.45,26.9,50.4526337,26.8975265,"Ганнопіль, Ганнопільська сільська громада, Шепетівський район, Хмельницька область, 30030, Україна",360697478.0,Q4066768,,1.0,matched_nominatim
27,Annopol,ANNOPOL-RACHOW,Opoczka Mała,Janow,50.88333333,21.85,50.8851655,21.8550836,"Annopol, powiat kraśnicki, województwo lubelskie, Polska",371978037.0,Q567332,,1.0,matched_db_api
28,Antanava,ANTANAVAS,Užpilviai,Mariampol,54.71666667,23.28333333,54.7044383,23.3072325,"Antanavas, Antanavo seniūnija, Marijampolės apskritis, Lietuva",762788548.0,Q5576448,,0.941,matched_db_api
29,Antoniny,ANTONINY,Antoniny,Zaslavl,49.8,26.86666667,49.81029,26.86466,"Антоніни, Хмельницька область, Україна",337544206.0,Q599421,,1.0,matched_db_api
30,Antonovka,ANTONOVKA,Malyatsitski selski Savet,Cherikov,53.85,31.51666667,,,,,,,,not_found
31,Antonovka,ANTONOWKA,Mala Liubasha Rural Hromada,Rovno,50.8,26.5,50.8058627,26.4758562,"Малолюбашанська сільська громада, Рівненська область, Україна",4295225333.0,,,0.889,matched_db_api
32,Onikshty,ANYKSCIAI,Anykščiai,Vilkomir,55.53333333,25.1,55.5257935,25.1061247,"Pašventupys, Anykščių seniūnija, Utenos apskritis, Lietuva",251280020.0,Q505416,,0.875,matched_db_api
33,Appengof,APE,Smiltenes novads,Valk,57.53333333,26.66666667,57.5404485,26.6904607,"Ape, Latvija",560248969.0,Q618119,,1.0,matched_refined
34,Pokrovskoe,APOSTOLOVO,Apostolove,Kherson,47.66666667,33.73333333,47.6617478,33.7180001,"Апостолове, Апостолівська міська громада, Криворізький район, Дніпропетровська область, 53800-53804, Україна",337672588.0,Q475572,,1.0,matched_refined
35,Staro-Artsiz,ARCIZ,Artsyzka miska hromada,Akkerman,45.98333333,29.41666667,45.9962017,29.431517,"Арциз, Арцизька міська громада, Болградський район, Одеська область, Україна",191255341.0,Q719051,,1.0,matched_refined
36,Eirogola,ARIOGALA,Ariogala,Kovno,55.26666667,23.46666667,55.2626507,23.4828053,"Ariogala, Ariogalos miesto seniūnija, Kauno apskritis, Lietuva",1874890686.0,Q1004320,אירגולה,1.0,matched_refined
37,Armianskii bazar,ARMYIANSK,Armyansk,Perekop,46.1,33.7,46.1039146,33.690787,"Армянск, Перекопський район, Республика Крым, 296012, Україна",30716086.0,Q688716,,1.0,matched_refined
38,Bakhmut,ARTIOMOVSK,Bakhmut,Bakhmut,48.58333333,38.0,48.5894123,38.0020994,"Бахмут, Донецька область, Україна",256613679.0,Q706857,באחמוט,1.0,matched_db_api
39,Autse,AUCE,Dobeles novads,Tukkum,56.46666667,22.88333333,56.4652968,22.8960281,"Auce, Latvija",278826695.0,Q758578,,1.0,matched_db_api
40,Avgustov,AUGUSTOW,Augustów,Avgustov,53.85,23.0,53.8437331,22.9802357,"Augustów, powiat augustowski, województwo podlaskie, Polska",1755364645.0,Q464763,אוגוסטוב,1.0,matched_db_api
41,Vysokii dvor,AUKSTADVARIS,Aukštadvaris,Troki,54.58333333,24.53333333,54.5804193,24.5279233,"Aukštadvaris, Aukštadvario seniūnija, Vilniaus apskritis, Lietuva",80031267.0,Q2667459,,1.0,matched_refined
