name,type,prov,dist,pale,region,jews,total,no_jews,full_name,lat,lon,census,jewish_flag,pop_flag,comments,index_sht
Bol'shiia Chepurniki,selo,Astrakhan,Chernyi Iar,Beyond,Inner Russia,256,2219,0,Bol'shiia Chepurniki,48.41667,44.58333,1,"","",.,0205Bl1
Gancheshty,mestechko,Bessarabia,Kishinev,Pale,New Russia,2228,5044,0,Gancheshty,46.8167,28.5833,1,"","","",0301Gn1
Kishinev,Gubernskii gorod,Bessarabia,Kishinev,Pale,New Russia,50237,108483,0,Kishinev,47,28.85,1,"","","",0301Ks1
Secareni,selo,Bessarabia,Kishinev,Pale,New Russia,,,1,Secareni,47.0333,28.3333,,"","","",0301Sc1
Akkerman,Uezdnyi gorod,Bessarabia,Akkerman,Pale,New Russia,5624,28258,0,Akkerman,46.2,30.35,1,"","","",0302Ak1
Bairamcha,selo,Bessarabia,Akkerman,Pale,New Russia,980,2718,0,Bairamcha,46.1333,29.9,1,"","","",0302Br1
Staro-Artsiz,selo,Bessarabia,Akkerman,Pale,New Russia,337,1827,0,Staro-Artsiz,45.9833,29.4167,1,"","","",0302St1
Tarutino,selo,Bessarabia,Akkerman,Pale,New Russia,1873,5200,0,Tarutino (Anchikrak),46.2,29.15,1,"","","",0302Tr1
Tatarbunary,mestechko,Bessarabia,Akkerman,Pale,New Russia,999,6023,0,Tatarbunary,45.85,29.6167,1,"","","",0302Tt1
Bendery,Uezdnyi gorod,Bessarabia,Bendery,Pale,New Russia,10654,31797,0,Bendery,46.8333,29.45,1,"","","",0303Bn1
Chimishliia,mestechko,Bessarabia,Bendery,Pale,New Russia,752,4355,0,Chimishliia,46.5167,28.7833,1,"","","",0303Cm1
Manzyr',mestechko,Bessarabia,Bendery,Pale,New Russia,310,1079,0,Manzyr' (Grafinia) (after 1940 - Lesnoe),46.46667,29.35,1,"","",Possible some connection with Lambrovka not mentioned in census lists,0303Mn1
Novye Kaushany,mestechko,Bessarabia,Bendery,Pale,New Russia,1675,3729,0,Novye Kaushany,46.65,29.4167,1,"","","",0303Nv1
Petrovka,mestechko,Bessarabia,Bendery,Pale,New Russia,611,1740,0,"Petrovka (Igupets,Chaga, Vidishtei)",46.9833,29.0833,1,"","",According to Chaga (name of the river as well) I would suggest this destination to it,0303Pt1
Romanovka,derevnia,Bessarabia,Bendery,Pale,New Russia,1142,1622,0,Romanovka,46.3333,28.9667,1,"","","",0303Rm1
Aleksandreny,koloniia,Bessarabia,Bieltsy,Pale,New Russia,1190,1253,0,Aleksandreny,47.8,28.0667,1,"","","",0304Al1
