name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,lat,lon,census,full_name,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name
Bol'shiia Chepurniki,0205Bl1,Astrakhan,2,5,Beyond,Inner Russia,0,256,2219,48.41667,44.58333,1,Bol'shiia Chepurniki,selo,,.,2219,,Astrakhan,Chernyi Iar
Gancheshty,0301Gn1,Bessarabia,3,1,Pale,New Russia,0,2228,5044,46.8167,28.5833,1,Gancheshty,mestechko,,,5044,,Bessarabia,Kishinev
Kishinev,0301Ks1,Bessarabia,3,1,Pale,New Russia,0,50237,108483,47,28.85,1,Kishinev,Gubernskii gorod,,,108483,,Bessarabia,Kishinev
Secareni,0301Sc1,Bessarabia,3,1,Pale,New Russia,1,,,47.0333,28.3333,,Secareni,selo,,,,,Bessarabia,Kishinev
Akkerman,0302Ak1,Bessarabia,3,2,Pale,New Russia,0,5624,28258,46.2,30.35,1,Akkerman,Uezdnyi gorod,,,28258,,Bessarabia,Akkerman
Bairamcha,0302Br1,Bessarabia,3,2,Pale,New Russia,0,980,2718,46.1333,29.9,1,Bairamcha,selo,,,2718,,Bessarabia,Akkerman
Staro-Artsiz,0302St1,Bessarabia,3,2,Pale,New Russia,0,337,1827,45.9833,29.4167,1,Staro-Artsiz,selo,,,1827,,Bessarabia,Akkerman
Tarutino,0302Tr1,Bessarabia,3,2,Pale,New Russia,0,1873,5200,46.2,29.15,1,Tarutino (Anchikrak),selo,,,5200,,Bessarabia,Akkerman
Tatarbunary,0302Tt1,Bessarabia,3,2,Pale,New Russia,0,999,6023,45.85,29.6167,1,Tatarbunary,mestechko,,,6023,,Bessarabia,Akkerman
Bendery,0303Bn1,Bessarabia,3,3,Pale,New Russia,0,10654,31797,46.8333,29.45,1,Bendery,Uezdnyi gorod,,,31797,,Bessarabia,Bendery
Chimishliia,0303Cm1,Bessarabia,3,3,Pale,New Russia,0,752,4355,46.5167,28.7833,1,Chimishliia,mestechko,,,4355,,Bessarabia,Bendery
Manzyr',0303Mn1,Bessarabia,3,3,Pale,New Russia,0,310,1079,46.46667,29.35,1,Manzyr' (Grafinia) (after 1940 - Lesnoe),mestechko,,Possible some connection with Lambrovka not mentioned in census lists,1079,,Bessarabia,Bendery
Novye Kaushany,0303Nv1,Bessarabia,3,3,Pale,New Russia,0,1675,3729,46.65,29.4167,1,Novye Kaushany,mestechko,,,3729,,Bessarabia,Bendery
Petrovka,0303Pt1,Bessarabia,3,3,Pale,New Russia,0,611,1740,46.9833,29.0833,1,"Petrovka (Igupets,Chaga, Vidishtei)",mestechko,,According to Chaga (name of the river as well) I would suggest this destination to it,1740,,Bessarabia,Bendery
