name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,census,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name,lat,lon,display_name,osm_id,wikidata_id,name_he,name_sim,match_status
Bol'shiia Chepurniki,0205Bl1,Astrakhan,2.0,5.0,Beyond,Inner Russia,0,256.0,2219.0,1.0,selo,,.,2219.0,,Astrakhan,Chernyi Iar,48.421906,44.584492,"Большие Чапурники, Светлоярский район, Волгоградская область, Россия",1186585399.0,Q3641689,,0.865,matched_reverse
Gancheshty,0301Gn1,Bessarabia,3.0,1.0,Pale,New Russia,0,2228.0,5044.0,1.0,mestechko,,,5044.0,,Bessarabia,Kishinev,46.8463666,28.5427304,"Hîncești, Raionul Hîncești, Moldova",12326787558.0,,,1.0,matched_refined
Kishinev,0301Ks1,Bessarabia,3.0,1.0,Pale,New Russia,0,50237.0,108483.0,1.0,Gubernskii gorod,,,108483.0,,Bessarabia,Kishinev,47.0245117,28.8322923,"Chișinău, Moldova",129991407.0,Q21197,קישינב,1.0,matched_db_api
Secareni,0301Sc1,Bessarabia,3.0,1.0,Pale,New Russia,1,,,,selo,,,,,Bessarabia,Kishinev,47.0254321,28.3309879,"Secăreni, Moldova",277635130.0,Q1987061,,1.0,matched_db_api
Akkerman,0302Ak1,Bessarabia,3.0,2.0,Pale,New Russia,0,5624.0,28258.0,1.0,Uezdnyi gorod,,,28258.0,,Bessarabia,Akkerman,46.1909823,30.345784,"Білгород-Дністровський, Білгород-Дністровська міська громада, Білгород-Дністровський район, Одеська область, 67700-67719, Україна",738536340.0,Q672990,בילהורוד-דניסטרובסקי,1.0,matched_nominatim
Bairamcha,0302Br1,Bessarabia,3.0,2.0,Pale,New Russia,0,980.0,2718.0,1.0,selo,,,2718.0,,Bessarabia,Akkerman,46.1350455,29.903189,"Байрамча, Одеська область, Україна",337691949.0,Q4320223,,1.0,matched_db_api
Staro-Artsiz,0302St1,Bessarabia,3.0,2.0,Pale,New Russia,0,337.0,1827.0,1.0,selo,,,1827.0,,Bessarabia,Akkerman,45.9962017,29.431517,"Арциз, Арцизька міська громада, Болградський район, Одеська область, Україна",191255341.0,Q719051,,1.0,matched_refined
Tarutino,0302Tr1,Bessarabia,3.0,2.0,Pale,New Russia,0,1873.0,5200.0,1.0,selo,,,5200.0,,Bessarabia,Akkerman,46.1821786,29.151948,"Бессарабське, Одеська область, Україна",337691696.0,Q2037768,,1.0,matched_db_api
Tatarbunary,0302Tt1,Bessarabia,3.0,2.0,Pale,New Russia,0,999.0,6023.0,1.0,mestechko,,,6023.0,,Bessarabia,Akkerman,45.8398696,29.6166537,"Татарбунари, Татарбунарська міська громада, Білгород-Дністровський район, Одеська область, 68100-68104, Україна",176806726.0,Q545923,,1.0,matched_nominatim
Bendery,0303Bn1,Bessarabia,3.0,3.0,Pale,New Russia,0,10654.0,31797.0,1.0,Uezdnyi gorod,,,31797.0,,Bessarabia,Bendery,46.8218177,29.4819196,"Бендеры, Нистрения / Приднестровье / Придністров'я, Moldova",265099165.0,Q192176,טיגינה,1.0,matched_db_api
Chimishliia,0303Cm1,Bessarabia,3.0,3.0,Pale,New Russia,0,752.0,4355.0,1.0,mestechko,,,4355.0,,Bessarabia,Bendery,46.5214777,28.7832993,"Cimișlia, Moldova",265099170.0,Q2019719,,1.0,matched_db_api
Manzyr',0303Mn1,Bessarabia,3.0,3.0,Pale,New Russia,0,310.0,1079.0,1.0,mestechko,,Possible some connection with Lambrovka not mentioned in census lists,1079.0,,Bessarabia,Bendery,46.467018,29.350321,"Лісне, Одеська область, Україна",1105027826.0,Q387287,,1.0,matched_reverse
