volume,kahal_name,settlement_name,settlement_type,pop
1,Kieydany,Lawmianka,karczma,8
1,Kieydany,Rąganie,karczma,4
1,Kieydany,Kaplicy,karczma,12
1,Kieydany,Bałance,karczma,8
1,Kieydany,Puplice,karczma,2
1,Kieydany,Pradzie,karczma,7
1,Kieydany,Zagonicy,karczma,5
1,Kieydany,Suraycie,karczma,6
1,Kieydany,Wędziagoła,miasteczko,24
1,Kieydany,Butkany,karczma,6
1,Kieydany,Uzumisky,karczma,5
1,Kieydany,Eyzingole,karczma,7
1,Kieydany,Szatyie,karczma,5
1,Kieydany,Domaszew,browar,4
1,Kieydany,Pedsalo,karczma,19
1,Kieydany,Łomestkiemie,karczma,6
1,Kieydany,Czerniach,wieś,2
1,Kieydany,Werszuy,karczma,10
1,Kieydany,Werizny,karczma,7
1,Kieydany,Koniuchy,karczma,20
1,Kieydany,Wedesz,karczma,7
1,Kieydany,Romańska,karczma,8
1,Kieydany,Sielbielka,karczma,12
1,Kieydany,Mniszech,wieś,5
1,Kieydany,Młynku Romanskim,młyn,3
1,Kieydany,Binite,karczma,14
1,Kieydany,Upita,karczma,5
1,Kieydany,Moniszkance,karczma,8
1,Kieydany,Podanie,karczma,10
1,Kieydany,Słabuchica,karczma,8
1,Kieydany,Bobty,karczma,33
1,Kieydany,Piepołe,karczma,12
1,Kieydany,Bąbanie,dwor,6
1,Kieydany,Babinie,karczma,9
1,Kieydany,Wigie,karczma,6
1,Kieydany,Artojnic,karczma,9
1,Kieydany,Pacuny,karczma,3
1,Kieydany,Wimbory,karczma,4
1,Kieydany,Propie,karczma,13
1,Kieydany,Dasuny,karczma,6
1,Kieydany,Dołepie,karczma,6
1,Kieydany,Bojary,karczma,12
1,Kieydany,Warckanie,karczma,6
1,Kieydany,Bakałance,karczma,6
1,Kieydany,Mendzitary,karczma,2
1,Kieydany,Stankuny,karczma,4
1,Kieydany,Wziustowo,karczma,7
1,Kieydany,Ruktse,karczma,8
1,Kieydany,Rudzie,karczma,4
1,Kieydany,Skovule,miasteczko,40
1,Kieydany,Borciany,karczma,4
1,Kieydany,Lałupcy,karczma,11
1,Kieydany,Riaszewa,karczma,7
1,Kieydany,Užusole,karczma,6
1,Kieydany,Kozmiałowa,karczma,10
1,Kieydany,Pitance,karczma,7
1,Kieydany,Plebaniszki,karczma,20
1,Kieydany,nad Uziow,karczma,5
1,Kieydany,Jankiyski,karczma,8
1,Kieydany,Moystyki,karczma,4
1,Kieydany,Oranszyki,karczma,10
1,Kieydany,Skrobimy,karczma,4
1,Kieydany,Preydragota,karczma,8
1,Kieydany,Łopie,karczma,4
1,Kieydany,Dudbory,karczma,8
1,Kieydany,Upniki Gieże,karczma,6
1,Kieydany,Upniki nad rzeką,karczma,11
1,Kieydany,Wieprze,karczma,17
1,Kieydany,Rumpole,karczma,5
1,Kieydany,Miłaszuny,karczma,10
1,Kieydany,Konczysko,browar,4
1,Kieydany,Lokiany,karczma,4
1,Kieydany,Marcie,karczma,4
1,Kieydany,Dawidance,karczma,4
1,Kieydany,Rudziany,karczma,8
1,Kieydany,Siesiki,piekarnia,5
1,Kieydany,Normoynie,karczma,6
1,Kieydany,Kropi,karczma,9
1,Kieydany,Jauiany,karczma,13
1,Kieydany,Szaty,miasto,193
1,Kieydany,Corek,karczma,6
1,Kieydany,Kazunie,karczma,5
1,Kieydany,Reluży,karczma,10
1,Kieydany,Komiany,karczma,4
1,Kieydany,Obaznie,karczma,4
1,Kieydany,Payżuny,karczma,5
1,Kieydany,Kankie,karczma,6
1,Kieydany,Beyszkany,karczma,6
1,Kieydany,Kople,karczma,2
1,Kieydany,Scatami,karczma,10
1,Kieydany,Siesiki,miasteczko,68
1,Kieydany,Wareyliski,karczma,3
1,Kieydany,Rakaowczyzna,karczma,12
1,Kieydany,Zyrnow,karczma,8
1,Kieydany,Stawrygoła,karczma,10
1,Kieydany,Mictporyszki,karczma,8
1,Kieydany,Pikuryszki,karczma,7
1,Kieydany,Szyrwintach,piekarnia,6
1,Kieydany,Barysiki,karczma,6
1,Kieydany,Małynancach,browar,10
1,Kieydany,Witeykiszki,karczma,3
1,Kieydany,Winksnotrocz,karczma,3
1,Kieydany,Sosedniki,karczma,5
1,Kieydany,Szyrwintach,browar,6
1,Kieydany,Smole,karczma,11
1,Kieydany,Ławkie,karczma,6
1,Kieydany,Kiezieliszki,karczma,9
1,Kieydany,Preezniszki,karczma,8
1,Kieydany,Giełwany,miasto,56
1,Kieydany,Witko Kiemie,karczma,6
1,Kieydany,Suwole,karczma,6
1,Kieydany,Litwiniszki,karczma,2
1,Kieydany,Szylany,karczma,7
1,Kieydany,Pieguzyney,karczma,10
1,Kieydany,Upniki za Rzeką,karczma,10
1,Kieydany,Zezdryny,karczma,6
1,Kieydany,Pogury,karczma,6
1,Kieydany,Pogurcze,karczma,5
1,Kieydany,Pogiry,karczma,6
1,Kieydany,Woywodziszki,karczma,8
1,Kieydany,Mowli,karczma,4
1,Kieydany,Luprany,karczma,3
1,Kieydany,Laukogołe,karczma,3
1,Kieydany,Jstawry,karczma,5
1,Kieydany,Gudele,karczma,5
1,Kieydany,Bokusławie,karczma,13
1,Kieydany,Szuny,karczma,4
1,Kieydany,Daniuny,karczma,8
1,Kieydany,Szukiany,karczma,3
1,Kieydany,Uzwolke,karczma,8
1,Kieydany,Linkowiec,karczma,11
1,Kieydany,Burwele,karczma,4
1,Kieydany,Borowa,karczma,8
1,Kieydany,Swiętobrość,karczma,4
1,Kieydany,nad Abiszą,karczma,10
1,Kieydany,Meyera nad Rzekłą,karczma,5
1,Kieydany,Medeliki,karczma,11
1,Kieydany,Nauiiny,karczma,7
1,Kieydany,Okmiany,karczma,7
1,Kieydany,Zeymy,miasteczko,29
1,Kieydany,Lepie,karczma,3
1,Kieydany,Krupie,karczma,5
1,Kieydany,Reywiny,karczma,18
1,Kieydany,Kutwa,karczma,8
1,Kieydany,Rogazy,karczma,7
1,Kieydany,Woydadytyzki,karczma,6
1,Kieydany,Berszt,karczma,6
1,Kieydany,Łuksz,karczma,4
1,Kieydany,Potyłte,karczma,4
1,Kieydany,Surwiliszki,miasteczko,11
1,Kieydany,Papiszki,karczma,2
1,Kieydany,Kotnoberże,karczma,6
1,Kieydany,Stapołerże,karczma,5
1,Kieydany,Skiemie,karczma,9
1,Kieydany,Laksse,karczma,5
1,Kieydany,Szarawy,karczma,3
1,Kieydany,Pernarowka,karczma,5
1,Kieydany,Skinderiszki,karczma,4
1,Kieydany,Jwaszkiewicza,browar,3
1,Kieydany,Szykaynie,karczma,6
1,Kieydany,Pożyszerkie,karczma,5
1,Kieydany,Gudaycie,karczma,5
1,Kieydany,Jeszutancy,karczma,5
1,Kieydany,Wiłaynie,karczma,8
1,Kieydany,Plintygołe,karczma,6
1,Kieydany,Surwąszu,browar,5
1,Kieydany,Fetiska,karczma,4
1,Kieydany,Kroki,miasteczko,37
1,Kieydany,Kropity,karczma,3
1,Kieydany,Biskupie,karczma,9
1,Kieydany,Montwidow,karczma,7
1,Kieydany,Guczyny,karczma,10
1,Kieydany,Jebutany,karczma,12
1,Siady,Zydyki,miasto,78
1,Siady,Petrayce,karczma,6
1,Siady,Mecedy,karczma,7
1,Siady,Witaice,karczma,7
1,Siady,Kalera,karczma,20
1,Siady,Mlocka,karczma,8
1,Siady,Połpyta,karczma,9
