kahal_id,name,settlement_type,pop,miasto_pop,surroundings_count,surroundings_pop,year,volume,powiat,viv_code,geocode
1,Kieydany,miasto,2120,483,173,1621,1765,1,Kowieński,LIT_ZMD,LIT_ZMD_KDNY
2,Siady,miasto,459,202,30,257,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_SDYX
3,Szkudy,miasto,552,454,13,98,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_SZKY
4,Szweksznie,miasto,414,357,9,57,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_SZVE
5,Retow,miasto,369,158,17,211,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_RTVX
6,Wilkija,miasto,649,349,42,300,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_VLKA
7,Jurbork,miasto,2322,337,74,1985,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_JRBK
8,Datnow,miasto,350,150,25,200,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_DTNV
9,Wielona,miasto,191,97,10,94,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_VLNA
10,Łukniki,miasto,554,204,41,350,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_LKNI
11,Sałanty,miasto,289,246,6,43,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_SLNY
12,Kroze,miasto,1850,427,31,1423,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_KRZE
13,Woynuta,miasto,515,56,11,459,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_VNTA
14,Wieksznia,miasto,274,99,16,175,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_VKSA
15,Telsze,miasto,219,183,5,36,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_TLSE
16,Raseynie,miasto,1076,435,82,641,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_RSNE
17,Kielmy,miasto,1019,301,97,718,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_KLMY
18,Chweydany,miasto,186,94,12,92,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_CVDY
19,Płungiany,miasto,820,423,45,397,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_PLNY
20,Cyragola,miasto,502,337,24,165,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_CRGA
21,Grynkiszki,miasto,177,83,16,94,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_GRNI
22,Gorżdy,miasto,103,87,3,16,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_GRZY
23,Połąga,miasto,128,122,1,6,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_PLAA
24,Dorbiany,miasto,164,147,4,17,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_DRBY
25,Kretinga,miasto,106,82,5,24,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_KRTA
26,Szawlany,miasto,327,139,32,188,1765,1,Żmudzkie,LIT_ZMD,LIT_ZMD_SZVY
