id,name,name_he,viv,viv_code,powiat,sum_group,value,addition,addition_type,group,geocode,modern_name,lat,lon,galil,galil_id,wikidata,wikipedia,osm_id,text,is_child,parent_id
1,Babimost,באבימוסט,Poznan,PZN,,PZN_1,206,,,,PZN_BABIMOST,"Babimost, Lubusz Voivodeship, Poland",52.16469,15.8274998,Great Poland,3,Q797713,pl:Babimost,3008152,W mieście Babimost Synagogi,0,
2,Broiec,,Poznan,PZN,,PZN_1,55,,,,PZN_BROJEC,"Brójce, Lubusz Voivodeship, Poland",52.3167532,15.6742026,Great Poland,3,Q4981893,pl:Brójce (województwo lubuskie),3009730607,W mieście Broiec communittis do Babimostu,0,
3,Czarnkow,צ'ארנקוב,Poznan,PZN,,PZN_1,489,,,,PZN_CZARNKOW,"Czarnków, Greater Poland Voivodeship, Poland",52.90528,16.56567,Great Poland,3,Q51438,pl:Czarnków,2858993,W mieście Czarnkow z Ryczy wołem,0,
4,Czempin,צ'מפין,Poznan,PZN,,PZN_1,86,,,,PZN_CZEMPIN,"Czempiń, Greater Poland Voivodeship, Poland",52.1426031,16.7591522,Great Poland,3,,,,W mieście Czempin Sy.,0,
5,Człop,צ׳לופא,Poznan,PZN,,PZN_1,234,,,,PZN_CZLOPA,"Człopa, West Pomeranian Voivodeship, Poland",53.0885,16.12097,Great Poland,3,Q990841,pl:Człopa,3089947,W mieście Człop Sy.,0,
6,Freydlandek,,Poznan,PZN,,PZN_1,877,,,,PZN_FRYDLAD,"Debrzno, Pomeranian Voivodeship, Poland",53.15183017,16.7451248,Great Poland,3,,,957200,W mieście Freydlandek Sy.,0,
7,Grodzisko,גרודז'יסק ויילקופולסקי,Poznan,PZN,,PZN_1,812,,,,PZN_GRODZISKO,"Grodzisk Wielkopolski, Greater Poland Voivodeship, Poland",52.22553,16.36644,Great Poland,3,Q52829,pl:Grodzisk Wielkopolski,2859089,W mieście Grodzisko Sy.,0,
8,Iutrosin,יוטרושין,Poznan,PZN,,PZN_1,115,,,,PZN_JUTROSIN,"Jutrosin, Greater Poland Voivodeship, Poland",51.60230616,16.8489957,Great Poland,3,Q1005837,pl:Jutrosin,2688599,W mieście Iutrosin communittis z Dublin,0,
9,Kargowa,קרגובה,Poznan,PZN,,PZN_1,289,,,,PZN_KARGOWA,"Kargowa, Lubusz Voivodeship, Poland",52.0720997,15.8653468,Great Poland,3,Q280407,pl:Kargowa,3008153,W mieście Kargowa Sy.,0,
10,Leszno,לשנו,Poznan,PZN,,PZN_1,4743,,,,PZN_LESZNO,"Leszno, Greater Poland Voivodeship, Poland",51.8419861,16.5937545,Great Poland,3,Q52892,pl:Leszno,1122507,W mieście Leszno z Bojanowem Synagoga,0,
11,Lwowek,לבובק,Poznan,PZN,,PZN_1,336,,,,PZN_LWOWEK,"Lwówek, Greater Poland Voivodeship, Poland",52.4479565,16.1810373,Great Poland,3,Q1005905,pl:Lwówek,2859427,W mieście Lwowek Sy.,0,
12,Międzymchod,בירנבאום,Poznan,PZN,,PZN_1,236,,,,PZN_MIEDZYCHOD,"Międzychód, Greater Poland Voivodeship, Poland",52.59855,15.89254,Great Poland,3,Q556484,pl:Międzychód,2859158,W mieście Międzymchod Sy.,0,
13,Międzyrzec,מיינדזיז'ץ,Poznan,PZN,,PZN_1,1077,,,,PZN_MIEDZYRZEC,"Międzyrzecz, Lubusz Voivodeship, Poland",52.4444808,15.5779005,Great Poland,3,Q639241,pl:Międzyrzecz,31616362,W mieście Międzyrzec Synagogi z wsiami,0,
