id,hierarchy,galil,kahal,name,settlement_type,pop,year,region,modern_name,viv,pow,geocode,lat,lon,kahal_id,subunit
1,1,Rus,Winnica,Winnica,city,348,1765,BRT,Vinnytsya,Bracław,Bracław,BRC_WINNICA,49.21939111,28.48875046,284,
2,,Rus,Winnica,Nowe Miasto Winnica,city,51,1765,BRT,Vinnytsya,Bracław,Bracław,BRC_WINNICA,49.23205939,28.46729279,284,
3,,Rus,Winnica,Wisznia,village,3,1765,BRT,Lifshyts synagogue,Bracław,Bracław,BRC_WINNICA,49.23284405,28.46557617,284,
4,,Rus,Winnica,Ludwikowka,village,2,1765,BRT,Sloboda-Dashkovetska,Bracław,Bracław,BRC_WINNICA,49.24949,28.28078,284,
5,,Rus,Winnica,Szeremetka,village,4,1765,BRT,Pyrohove,Bracław,Bracław,BRC_WINNICA,49.21588,28.39345,284,
6,,Rus,Winnica,Maydan Juzwiński,village,2,1765,BRT,Maidan,Bracław,Bracław,BRC_WINNICA,49.23656,28.26179,284,
7,,Rus,Winnica,Juzwin,city,38,1765,BRT,Nekrasove,Bracław,Bracław,BRC_WINNICA,49.20318,28.22103,284,
8,,Rus,Winnica,Miedzwiedze Ucho,village,4,1765,BRT,Medvezhe Vushko,Bracław,Bracław,BRC_WINNICA,49.17934695,28.31176758,284,
9,,Rus,Winnica,Jurkowce,village,3,1765,BRT,Yurkivtsy,Bracław,Bracław,BRC_WINNICA,49.15,28.4,284,
10,,Rus,Winnica,Skurzynce,village,3,1765,BRT,Shkurintsy,Bracław,Bracław,BRC_WINNICA,49.16667,28.41667,284,
11,,Rus,Winnica,Tiulki,village,4,1765,BRT,Tiutky,Bracław,Bracław,BRC_WINNICA,49.17609264,28.44394684,284,
12,,Rus,Winnica,Łuka,village,4,1765,BRT,Luka-Meleshkivska,Bracław,Bracław,BRC_WINNICA,49.17564,28.49109,284,
13,,Rus,Winnica,Parpurowce,village,3,1765,BRT,Parpurovtsy,Bracław,Bracław,BRC_WINNICA,49.16827,28.53179,284,
14,,Rus,Winnica,Sołowiuwka,village,5,1765,BRT,Soloviyevka,Bracław,Bracław,BRC_WINNICA,49.16667,28.56667,284,
15,,Rus,Winnica,Cwiżyn,village,5,1765,BRT,Tsvizhyn,Bracław,Bracław,BRC_WINNICA,49.12197242,28.54093552,284,
16,,Rus,Winnica,Chyżynce,village,3,1765,BRT,Khyzhyntsi,Bracław,Bracław,BRC_WINNICA,49.17554338,28.56097376,284,
