index,name,prov,dist,pale,region,jews,total,type,no_jews,is_census,total_flag,jewish_flag,comments,name_he,modern_name,dist_code,index_sht,osm_id,wikidata_id,lat,lon
1,Bol'shiia Chepurniki,Astrakhan,Chernyi Iar,0,Inner Russia,256,2219,selo,0,1,"","",.,"","Большие Чапурники, Светлоярский район, Волгоградская область, Россия",0205,0205Bl1,1186585399,Q3641689,48.421906,44.584492
2,Gancheshty,Bessarabia,Kishinev,1,New Russia,2228,5044,mestechko,0,1,"","","","","Hîncești, Raionul Hîncești, Moldova",0301,0301Gn1,12326787558,"",46.8463666,28.5427304
3,Kishinev,Bessarabia,Kishinev,1,New Russia,50237,108483,Gubernskii gorod,0,1,"","","",קישינב,"Chișinău, Moldova",0301,0301Ks1,129991407,Q21197,47.0245117,28.8322923
4,Secareni,Bessarabia,Kishinev,1,New Russia,,,selo,1,1,"","","","","Secăreni, Moldova",0301,0301Sc1,277635130,Q1987061,47.0254321,28.3309879
5,Akkerman,Bessarabia,Akkerman,1,New Russia,5624,28258,Uezdnyi gorod,0,1,"","","",בילהורוד-דניסטרובסקי,"Білгород-Дністровський, Білгород-Дністровська міська громада, Білгород-Дністровський район, Одеська область, 67700-67719, Україна",0302,0302Ak1,738536340,Q672990,46.1909823,30.345784
6,Bairamcha,Bessarabia,Akkerman,1,New Russia,980,2718,selo,0,1,"","","","","Байрамча, Одеська область, Україна",0302,0302Br1,337691949,Q4320223,46.1350455,29.903189
7,Staro-Artsiz,Bessarabia,Akkerman,1,New Russia,337,1827,selo,0,1,"","","","","Арциз, Арцизька міська громада, Болградський район, Одеська область, Україна",0302,0302St1,191255341,Q719051,45.9962017,29.431517
8,Tarutino,Bessarabia,Akkerman,1,New Russia,1873,5200,selo,0,1,"","","","","Бессарабське, Одеська область, Україна",0302,0302Tr1,337691696,Q2037768,46.1821786,29.151948
9,Tatarbunary,Bessarabia,Akkerman,1,New Russia,999,6023,mestechko,0,1,"","","","","Татарбунари, Татарбунарська міська громада, Білгород-Дністровський район, Одеська область, 68100-68104, Україна",0302,0302Tt1,176806726,Q545923,45.8398696,29.6166537
10,Bendery,Bessarabia,Bendery,1,New Russia,10654,31797,Uezdnyi gorod,0,1,"","","",טיגינה,"Бендеры, Нистрения / Приднестровье / Придністров'я, Moldova",0303,0303Bn1,265099165,Q192176,46.8218177,29.4819196
11,Chimishliia,Bessarabia,Bendery,1,New Russia,752,4355,mestechko,0,1,"","","","","Cimișlia, Moldova",0303,0303Cm1,265099170,Q2019719,46.5214777,28.7832993
12,Manzyr',Bessarabia,Bendery,1,New Russia,310,1079,mestechko,0,1,"","",Possible some connection with Lambrovka not mentioned in census lists,"","Лісне, Одеська область, Україна",0303,0303Mn1,1105027826,Q387287,46.467018,29.350321
13,Novye Kaushany,Bessarabia,Bendery,1,New Russia,1675,3729,mestechko,0,1,"","","","","Căușeni, Moldova",0303,0303Nv1,265099168,Q657744,46.6495405,29.4067719
14,Petrovka,Bessarabia,Bendery,1,New Russia,611,1740,mestechko,0,1,"","",According to Chaga (name of the river as well) I would suggest this destination to it,"","Mereni, Moldova",0303,0303Pt1,12500498226,"",46.974685,29.0876527
15,Romanovka,Bessarabia,Bendery,1,New Russia,1142,1622,derevnia,0,1,"","","","","Романовка, Basarabeasca, Raionul Basarabeasca, Moldova",0303,0303Rm1,13051971319,"",46.3344133,28.9612962
